,image_id,text
0,a01/a01-000u/a01-000u-00-00.png,A
1,a01/a01-000u/a01-000u-00-01.png,MOVE
2,a01/a01-000u/a01-000u-00-02.png,to
3,a01/a01-000u/a01-000u-00-03.png,stop
4,a01/a01-000u/a01-000u-00-04.png,Mr.
5,a01/a01-000u/a01-000u-00-05.png,Gaitskell
6,a01/a01-000u/a01-000u-00-06.png,from
7,a01/a01-000u/a01-000u-01-00.png,nominating
8,a01/a01-000u/a01-000u-01-01.png,any
9,a01/a01-000u/a01-000u-01-02.png,more
10,a01/a01-000u/a01-000u-01-03.png,Labour
11,a01/a01-000u/a01-000u-01-04.png,life
12,a01/a01-000u/a01-000u-01-05.png,Peers
13,a01/a01-000u/a01-000u-02-00.png,is
14,a01/a01-000u/a01-000u-02-01.png,to
15,a01/a01-000u/a01-000u-02-02.png,be
16,a01/a01-000u/a01-000u-02-03.png,made
17,a01/a01-000u/a01-000u-02-04.png,at
18,a01/a01-000u/a01-000u-02-05.png,a
19,a01/a01-000u/a01-000u-02-06.png,meeting
20,a01/a01-000u/a01-000u-02-07.png,of
21,a01/a01-000u/a01-000u-02-08.png,Labour
22,a01/a01-000u/a01-000u-03-00.png,Ps
23,a01/a01-000u/a01-000u-03-01.png,tomorrow
24,a01/a01-000u/a01-000u-03-03.png,Mr.
25,a01/a01-000u/a01-000u-03-04.png,Michael
26,a01/a01-000u/a01-000u-03-05.png,Foot
27,a01/a01-000u/a01-000u-03-06.png,has
28,a01/a01-000u/a01-000u-04-00.png,put
29,a01/a01-000u/a01-000u-04-01.png,down
30,a01/a01-000u/a01-000u-04-02.png,a
31,a01/a01-000u/a01-000u-04-03.png,resolution
32,a01/a01-000u/a01-000u-04-04.png,on
33,a01/a01-000u/a01-000u-04-05.png,the
34,a01/a01-000u/a01-000u-04-06.png,subject
35,a01/a01-000u/a01-000u-05-00.png,and
36,a01/a01-000u/a01-000u-05-01.png,he
37,a01/a01-000u/a01-000u-05-02.png,is
38,a01/a01-000u/a01-000u-05-03.png,to
39,a01/a01-000u/a01-000u-05-04.png,be
40,a01/a01-000u/a01-000u-05-05.png,backed
41,a01/a01-000u/a01-000u-05-06.png,by
42,a01/a01-000u/a01-000u-05-07.png,Mr.
43,a01/a01-000u/a01-000u-05-08.png,Will
44,a01/a01-000u/a01-000u-06-00.png,Griffiths
45,a01/a01-000u/a01-000u-06-01.png,","
46,a01/a01-000u/a01-000u-06-02.png,P
47,a01/a01-000u/a01-000u-06-03.png,for
48,a01/a01-000u/a01-000u-06-04.png,Manchester
49,a01/a01-000u/a01-000u-06-05.png,Exchange
50,a01/a01-000x/a01-000x-00-00.png,A
51,a01/a01-000x/a01-000x-00-01.png,MOVE
52,a01/a01-000x/a01-000x-00-02.png,to
53,a01/a01-000x/a01-000x-00-03.png,stop
